platform,has_profile_pic,bio_length,username_randomness,followers,following,follower_following_ratio,account_age_days,posts,posts_per_day,caption_similarity_score,content_similarity_score,follow_unfollow_rate,spam_comments_rate,generic_comment_rate,suspicious_links_in_bio,verified,is_fake,username,username_length,digits_count,digit_ratio,special_char_count,repeat_char_count
X,1,180,1,431,679,0.633823529,,,0.205944798,0.699443713,0.579353905,456,,5,1,0,0,dmitri,6,0,0,0,0
,1,214,,426,729,0.583561644,3164,202,0.063823065,,0.102865583,98,,141,,1,1,smpni6240,9,4,0.444444444,0,0
X,1,87,,426,721,0.590027701,903,225,0.248893805,0.858449712,0.310862586,136,171,62,1,0,1,qgph5q343j,10,4,0.4,0,0
X,0,72,0,385,,0.566176471,3433,175,0.050960978,0.176470627,0.076058376,186,46,117,1,1,0,mia,3,0,0,0,0
Instagram,0,162,,392,709,0.552112676,,207,0.162992126,0.265956646,0.556129933,35,184,64,,1,0,martin,6,0,0,0,0
Instagram,0,178,0,,,0.545582048,24,198,7.92,0.941076111,0.173268196,117,146,51,,1,0,hans2162,8,4,0.5,0,0
X,1,211,0,378,678,0.556701031,4653,186,0.039965621,0.444045248,,157,161,,1,,0,camila,6,0,0,0,0
Facebook,1,36,0,,,0.583333333,2749,241,,0.789050943,0.577314026,,130,124,0,0,1,bot_m9eto,9,1,0.111111111,1,0
X,1,233,1,424,,0.581618656,2451,200,0.081566069,0.492167649,0.059375642,274,38,99,1,1,0,max.8814,8,4,0.5,1,1
,1,208,0,398,683,0.581871345,1397,202,0.144492132,0.471085657,0.300875664,168,91,135,1,1,1,izbzzx9w4r,10,2,0.2,0,1
X,1,238,1,408,664,0.613533835,3358,,,0.148116288,0.616337667,54,74,95,1,0,0,tariq_2509,10,4,0.4,1,0
X,1,222,1,366,729,0.501369863,,193,0.049411162,0.851199611,0.335498318,470,187,,1,1,1,user_498068,11,6,0.545454545,1,0
Instagram,1,118,0,,,0.605263158,2489,,0.081526104,0.078355281,0.513176669,,137,13,0,1,1,jolxy2274,9,4,0.444444444,0,1
X,0,56,1,397,753,0.526525199,3667,211,,,0.909362295,5,167,23,0,1,0,suresh1009,10,4,0.4,0,1
Facebook,1,7,1,406,,0.572637518,1758,194,0.110289937,0.673468072,0.350035971,378,1,92,1,0,0,amina_1412,10,4,0.4,1,0
Instagram,0,206,0,,702,0.578947368,4978,189,0.03795943,0.507257551,0.335872862,362,44,24,0,0,0,anastasia5003,13,4,0.307692308,0,1
,0,94,,361,726,0.49656121,1879,185,0.098404255,0.881378327,0.819756841,343,154,133,0,0,0,sarah8441,9,4,0.444444444,0,1
